location_cell,lon,lat
366,-73.98777189072918,40.74978939990011
376,-73.99075649573565,40.68611054725977
60,-73.98459099904711,40.754184001312545
143,-73.96907237490204,40.75746830782865
428,-74.01105599991755,40.706476001106005
81,-73.97918899989101,40.75276866674217
353,-73.98164872301398,40.768249531776064
145,-73.9879368338264,40.74964456009442
371,-73.98993800003434,40.72340166574911
11,-73.98740940202974,40.71830605618619
32,-73.98207600148947,40.74608099909145
349,-73.98133100227702,40.75864100159815
272,-73.87996127877184,40.84020763241799
92,-73.98659900207888,40.739864000474604
466,-73.98196299856706,40.75382100064824
380,-73.98934400102907,40.74130266729
374,-73.98977899938897,40.67027166728493
399,-73.95224799734774,40.811071672994565
393,-73.99809099974297,40.66039666692321
49,-73.9679670004732,40.762526000304575
103,-73.9401635351909,40.750635651014804
127,-73.95042600099683,40.68043800006226
133,-73.94754120734406,40.63284240700742
236,-73.91254899891254,40.744149001021576
429,-74.01113196473266,40.7105129841524
147,-73.98622899953202,40.755983000570076
72,-73.95024799996972,40.71407200064717
300,-73.92850899927413,40.69317200129202
151,-73.95666499806525,40.71717399858899
350,-73.97736800085171,40.76408500081713
142,-73.9752485052734,40.76008683231326
317,-74.03087600085765,40.61662166725951
189,-73.86269999830412,40.749865000555545
36,-73.98310999909673,40.67731566735096
94,-73.98192900232715,40.76824700063689
275,-73.87885499918691,40.87481100011182
244,-73.82069263637443,40.70916181536946
84,-74.00030814755975,40.732254493367876
290,-73.91779152760981,40.816029252510006
90,-74.0062770001748,40.72285399778783
444,-74.00168999937027,40.740893000193296
643,-73.9470660219183,40.784236650177654
222,-73.92252118536001,40.66476678877493
451,-73.95558899985132,40.77949199820952
369,-73.99017700122197,40.713855001020406
105,-73.98995099881881,40.734673000996125
46,-73.88940491730106,40.665517963059635
406,-73.98999799960687,40.693218999611084
204,-73.97604100111508,40.751431000286864
427,-74.00950899856461,40.710367998822136
158,-73.97232299915696,40.79391900121471
422,-74.01297456253795,40.707744756294474
354,-73.98420956591096,40.759801973870694
34,-73.95987399886047,40.77362000074615
470,-74.00219709442206,40.75544635961596
277,-73.83859099802153,40.87866300037311
355,-73.98072973372128,40.76456552501829
441,-73.99620899921355,40.73822799969515
79,-73.92582299919906,40.761431998800546
414,-74.00340673031336,40.71323378962671
388,-74.01000600074939,40.648938666612814
419,-74.01400799803432,40.70491399928076
27,-73.92613800014134,40.81047600117261
97,-74.00536700180581,40.728251000730204
232,-73.86943208612348,40.73309737380972
200,-73.98426400110407,40.743069999259035
348,-73.98169782344476,40.76297015245628
307,-73.93713823965695,40.74891771986323
421,-74.0130072374272,40.703142373599135
362,-73.98973500085859,40.757307998551504
368,-73.98721815267317,40.692470636847084
425,-74.01378300119742,40.707512999521775
346,-73.94193761457447,40.75373927087553
194,-73.9030969995401,40.67534466640805
410,-74.0052290023424,40.72082400007119
96,-73.9956570016487,40.74408099989751
3,-73.98384899986625,40.76172799961419
352,-73.95323499978866,40.75917199967108
63,-73.81701287135405,40.70289855287313
328,-73.95405791257907,40.58654754707536
356,-73.97334700047045,40.764810999755284
2,-74.00019299927328,40.71880300107709
25,-73.83003000262508,40.75959999915012
24,-73.86952700103515,40.74914499948836
280,-73.8506199987954,40.903125000541245
242,-73.83030100071032,40.66047600004959
382,-73.98830199974512,40.670846666842756
389,-74.00354899951809,40.65514366633887
404,-74.00926600170112,40.71547800011327
403,-74.00881099997359,40.713050999077694
247,-73.80109632298924,40.70206737621188
415,-73.99982638545937,40.71817387697391
437,-73.99339099970578,40.752287000775894
47,-73.9273847542618,40.81830344372315
190,-73.85533399834884,40.75172999941711
377,-73.98605667854612,40.69225539645323
128,-73.98040679874578,40.68831058019022
85,-73.97192000069982,40.75710699989316
434,-73.99380690654237,40.720246883147254
240,-73.88369700071884,40.747658999559135
394,-73.99494697998841,40.68027335170176
365,-73.99276500471389,40.742954317826005
360,-74.00762309323994,40.71016216530185
402,-74.00657099970202,40.70941599925865
155,-73.93285137679598,40.75276306140845
446,-73.99308599821961,40.69746599996469
56,-73.976336575218,40.77551939729258
457,-73.99465900006331,40.72591466682659
31,-73.9767132992584,40.75180742981634
91,-73.83632199755944,40.84386300128381
293,-73.93099699953838,40.74458699983993
347,-73.98598400026407,40.76245599925997
144,-73.98869800128737,40.74545399979951
193,-73.97991700056134,40.78393399959032
443,-74.00257800104762,40.73977666638199
430,-74.00909999844257,40.706820999753376
432,-73.99375299913589,40.71826699954992
318,-74.0283979999864,40.62268666715025
279,-73.78381700176453,40.712645666744045
467,-73.99714100006673,40.72230099999366
159,-73.96837899960818,40.799446000334825
199,-73.99336500134324,40.74721499918219
358,-73.99105699913983,40.75037300003949
