amadeus_code,tripadvisor_name,lat,lon,location_cell,total_amount,date
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,1038.26,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,1153.0,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,1193.4,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,652.63,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,654.13,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,677.09,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,700.03,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,856.94,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,971.7,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,1012.1,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,675.01,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,676.51,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,699.46,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,722.41,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,879.32,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,994.07,2017-11-16
GVNYC042,Gansevoort Park Avenue NYC,40.74392,-73.98415,92.0,1034.47,2017-11-16
FNNYCTWF,Fairfield Inn & Suites New York Manhattan/Chelsea,40.7462,-73.99096,55.0,209.0,2017-11-16
FNNYCTWF,Fairfield Inn & Suites New York Manhattan/Chelsea,40.7462,-73.99096,55.0,239.0,2017-11-16
FNNYCTWF,Fairfield Inn & Suites New York Manhattan/Chelsea,40.7462,-73.99096,55.0,359.0,2017-11-16
FNNYCTWF,Fairfield Inn & Suites New York Manhattan/Chelsea,40.7462,-73.99096,55.0,409.0,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,208.9,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,231.85,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,208.9,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,231.85,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,210.05,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,233.0,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,210.05,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,233.0,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,189.4,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,210.05,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,189.4,2017-11-16
YONYC73E,Candlewood Suites New York City Times Square,40.7558,-73.9923,15.0,210.05,2017-11-16
GINYC483,Hilton Garden Inn New York/Central Park South-Midtown West,40.76439,-73.9832,23.0,267.45,2017-11-16
PWNYC383,The Bowery Hotel,40.72605,-73.99168,0.0,869.93,2017-11-16
DSNYCGPH,Gramercy Park Hotel,40.73859,-73.98596,63.0,518.73,2017-11-16
GDNYCMIM,Hotel Mimosa,40.71414,-73.99379,43.0,188.66,2017-11-16
GDNYCMIM,Hotel Mimosa,40.71414,-73.99379,43.0,198.17,2017-11-16
GDNYCMIM,Hotel Mimosa,40.71414,-73.99379,43.0,196.85,2017-11-16
GDNYCMIM,Hotel Mimosa,40.71414,-73.99379,43.0,160.89,2017-11-16
GDNYCMIM,Hotel Mimosa,40.71414,-73.99379,43.0,168.96,2017-11-16
GDNYCMIM,Hotel Mimosa,40.71414,-73.99379,43.0,167.85,2017-11-16
