location_cell,hotel_avg,airbnb_avg
0.0,591.25,202.9714889123548
1.0,184.41964285714263,82.09836065573771
2.0,163.01341463414613,71.66666666666667
3.0,375.30938356164415,205.85106382978722
4.0,227.09259259259258,107.875
5.0,158.38666666666668,67.61538461538461
6.0,182.54312796208498,160.16183574879227
7.0,383.6944502617801,213.48275862068965
8.0,129.11923076923077,84.53631284916202
9.0,175.83678571428572,79.53333333333333
10.0,366.57608695652175,208.55445544554456
11.0,159.0108724832218,99.28260869565217
12.0,259.2768085106383,132.56049562682216
13.0,129.73333333333343,112.53333333333333
14.0,163.5964516129032,155.71052631578948
15.0,310.8961726384367,236.40151515151516
16.0,182.80973451327444,137.86666666666667
17.0,334.6270967741936,218.4141689373297
18.0,407.3529411764706,174.91610738255034
20.0,232.48778523489958,72.87096774193549
21.0,140.91489361702128,102.55473684210526
22.0,267.2,74.125
23.0,634.6648156682033,283.07971014492756
24.0,230.1786754966888,98.75
25.0,142.90578947368402,118.19444444444444
26.0,180.42857142857142,82.77777777777777
27.0,763.7178181818181,412.90972222222223
28.0,330.42857142857144,169.71194762684124
29.0,161.66000000000014,175.53305785123968
30.0,202.4166666666665,87.03333333333333
31.0,126.11249999999997,84.96774193548387
32.0,197.78311594202907,89.61904761904762
34.0,549.4977118644068,231.81012658227849
35.0,156.77105263157907,85.87912087912088
36.0,132.55060240963857,123.83333333333333
37.0,569.504,174.65
38.0,181.07378048780492,194.71395348837208
39.0,185.0566037735849,110.91803278688525
40.0,176.5408163265306,129.15
41.0,166.2549019607843,90.2065906210393
42.0,156.67627450980376,83.0
43.0,209.17375,145.2924791086351
44.0,140.0,75.0
45.0,414.1185130111526,266.2
46.0,142.80769230769246,123.71851851851852
47.0,157.1499999999999,99.171974522293
48.0,232.23746666666665,57.25
49.0,202.9833333333334,97.74626865671642
50.0,136.7571052631578,68.96428571428571
51.0,2570.3053935860057,316.9032258064516
52.0,324.0017182130583,214.46381578947367
53.0,287.8847988505752,177.8235294117647
54.0,124.3529411764706,90.21052631578948
55.0,346.23453465346535,253.63013698630138
56.0,332.59090909090907,264.613074204947
57.0,189.6886363636364,107.79581151832461
58.0,295.7731791907515,166.74045801526717
59.0,206.1578947368421,80.26086956521739
60.0,210.35996268656712,110.41176470588235
61.0,361.5948401826487,238.26136363636363
62.0,284.2,176.01818181818183
63.0,1049.473282442748,208.21480144404333
64.0,222.61111111111111,139.76668339187154
65.0,243.0268456375839,163.66176470588235
66.0,438.32823129251744,181.21985815602838
67.0,135.46764705882353,137.4978540772532
68.0,827.2485858585859,215.36
69.0,229.24,458.45454545454544
70.0,465.51609589041095,328.75581395348837
71.0,647.5376744186032,256.0222929936306
72.0,634.9333333333333,190.32881355932204
73.0,619.929172932331,309.3095238095238
74.0,252.42500000000007,197.41558441558442
75.0,205.12209677419338,135.30208333333334
76.0,332.4899999999999,118.29310344827586
77.0,346.0622463768119,237.36111111111111
78.0,295.57990115321275,206.8846153846154
79.0,458.51610123119,248.524064171123
80.0,399.6,139.19527559055118
81.0,247.04999999999998,120.18319327731092
82.0,234.12043478260858,163.74273858921163
83.0,373.3333333333333,253.42105263157896
84.0,234.27777777777777,218.72432432432433
85.0,189.2514,109.26548672566372
86.0,2006.8125,275.37226277372264
88.0,391.04222222222216,357.125
89.0,229.0,152.38441890166027
90.0,408.30084745762696,317.5
91.0,176.71789999999993,120.42857142857143
92.0,570.0987206266316,241.50632911392404
93.0,153.29666666666668,101.9
94.0,405.65269461077844,246.64880952380952
95.0,268.2167045454547,180.32539682539684
96.0,170.05000000000007,110.23809523809524
97.0,848.4109482758618,366.2647058823529
98.0,564.0773333333333,215.79577464788733
99.0,203.42769230769235,203.16229116945107
100.0,186.3515873015872,101.38888888888889
101.0,223.875375,140.87567567567567
102.0,347.5086705202312,214.54430379746836
103.0,451.05178683385606,263.3142857142857
104.0,325.61428571428576,364.5833333333333
105.0,567.8531627906982,263.6029411764706
106.0,241.9242424242422,204.8201754385965
107.0,186.85714285714286,247.93617021276594
108.0,207.25806451612902,216.10188679245283
109.0,1299.5402298850574,201.95555555555555
110.0,313.7086206896551,209.01190476190476
111.0,373.5,265.62396694214874
112.0,1826.7207792207791,189.36829268292684
113.0,627.7532258064518,140.55133079847909
114.0,170.26192982456146,112.01101928374656
115.0,1944.4871794871794,236.5655737704918
116.0,269.51655172413786,174.09375
117.0,324.0,160.4758064516129
118.0,195.73000000000002,253.9126984126984
119.0,507.25252525252523,192.45205479452054
120.0,258.76818181818186,289.1290322580645
121.0,259.0,166.8608695652174
122.0,1577.8653846153845,389.7027027027027
123.0,145.81071428571425,109.21428571428571
124.0,198.50954545454545,224.5
125.0,2203.993902439024,337.35135135135135
126.0,655.8767948717948,217.49253731343285
127.0,326.0296296296297,206.87171052631578
128.0,221.13513513513513,198.98173515981736
129.0,500.096031746032,238.4811320754717
