location_cell,id,2017-12-06 to 2017-12-07,2017-12-16 to 2017-12-17,2017-12-26 to 2017-12-27
41.0,9593401,50,50,50
41.0,3683236,250,250,250
41.0,10035706,42,42,42
41.0,3490317,195,149,195
41.0,3311834,78,90,78
41.0,16413742,63,63,63
41.0,14555886,55,55,55
41.0,19038731,55,55,55
41.0,7727560,60,60,60
21.0,6574353,85,85,85
21.0,1215836,150,150,150
21.0,20270203,20,20,20
21.0,16299975,50,50,50
21.0,9836960,20,21,19
21.0,9713934,50,50,50
21.0,4226535,99,95,99
21.0,15611919,50,50,50
21.0,1571050,50,50,50
21.0,14011728,100,100,100
21.0,7457673,85,85,85
21.0,512210,262,349,349
21.0,1275942,50,51,64
21.0,20213442,55,55,55
21.0,16132147,285,285,383
114.0,13650177,118,111,157
114.0,14503754,135,135,135
114.0,20795854,200,200,250
114.0,19339594,70,70,70
114.0,7205861,125,125,125
114.0,15360687,168,168,174
114.0,3512620,129,129,135
114.0,14671527,35,35,38
114.0,4739407,85,85,85
114.0,3895455,55,55,55
114.0,4077702,95,95,95
114.0,16453837,300,300,300
114.0,19119276,90,90,90
114.0,14028380,100,100,100
114.0,19181945,200,201,250
114.0,8848215,45,45,45
114.0,9155021,80,80,86
114.0,9864155,125,125,125
8.0,8468835,50,50,50
8.0,15648993,73,75,84
8.0,20654619,41,41,41
8.0,20189290,80,80,84
8.0,20363178,50,47,46
8.0,422414,39,39,39
8.0,18358363,32,32,33
8.0,15468790,80,99,150
8.0,19506829,52,52,52
8.0,20679058,32,32,32
8.0,12335328,95,95,95
8.0,3583702,112,125,112
8.0,8861719,54,54,54
8.0,20790347,95,99,119
8.0,16720662,160,140,170
8.0,20981267,45,55,45
57.0,15042574,50,50,50
57.0,16101961,864,864,864
57.0,17239807,72,72,74
57.0,20827801,45,45,45
57.0,12153428,36,40,42
57.0,15462245,90,90,90
57.0,14616367,240,240,290
57.0,8939409,65,65,70
57.0,3970701,60,70,60
57.0,18715285,89,89,96
57.0,15028194,113,115,114
57.0,17881553,34,36,50
57.0,19291110,55,60,55
57.0,15466847,50,63,50
57.0,13058729,69,69,69
57.0,7728122,55,60,55
57.0,18745141,34,39,59
57.0,3585334,34,34,34
57.0,19670481,44,56,63
95.0,16805446,148,151,152
95.0,1406906,120,120,120
95.0,10754087,150,275,250
95.0,4379271,100,100,100
95.0,13373300,185,205,185
95.0,13530958,120,120,120
95.0,7984555,150,150,150
95.0,8847577,1500,1500,1500
95.0,4125559,125,125,140
95.0,3510929,155,155,155
95.0,7718452,148,160,160
95.0,1717499,78,78,78
95.0,11452547,400,450,400
95.0,4909080,500,500,500
95.0,18175887,200,200,200
95.0,15649031,228,247,257
95.0,17281347,95,95,97
95.0,78919,135,135,135
65.0,2202858,200,200,200
65.0,9525925,130,160,160
65.0,20956017,75,75,75
65.0,9216664,100,100,100
65.0,9252303,185,185,185
65.0,19860683,305,260,345
65.0,287839,160,160,165
65.0,20124587,130,130,150
65.0,11732848,495,495,800
65.0,9515733,165,165,200
65.0,5372082,145,145,145
65.0,742795,140,130,118
65.0,1114493,75,75,75
65.0,4617454,90,90,90
65.0,2627940,195,195,195
65.0,13153768,89,89,120
6.0,5219303,159,159,159
6.0,20725853,46,46,46
6.0,1491991,190,190,210
6.0,20896775,59,59,59
6.0,5302719,145,145,145
6.0,16337598,220,220,220
6.0,11477869,545,575,545
6.0,12687169,50,50,50
6.0,18750243,100,150,100
6.0,16054943,65,65,65
6.0,21015993,224,224,224
6.0,9996642,72,80,91
6.0,13343610,150,150,150
6.0,3897387,105,115,115
6.0,14161103,146,146,146
6.0,20503640,67,67,67
6.0,14058880,74,75,65
93.0,11239271,300,375,300
93.0,14228589,45,46,46
93.0,4728136,42,42,42
93.0,3039888,90,90,90
93.0,6481924,105,105,105
93.0,7107742,30,30,30
93.0,2267177,49,65,65
93.0,7712639,90,90,90
93.0,2524213,37,37,46
93.0,19269793,29,34,35
93.0,13577416,40,40,40
93.0,4886669,33,33,33
93.0,5578843,2000,2000,2000
93.0,1863279,140,140,140
93.0,15164526,55,55,80
93.0,10043854,38,38,45
59.0,15939056,105,105,105
59.0,20075062,180,255,330
59.0,17750322,42,45,42
59.0,20608776,35,109,109
59.0,7725496,45,45,45
59.0,13928916,75,75,75
59.0,20500009,41,154,154
59.0,10140368,46,46,46
59.0,15938836,105,105,105
59.0,1815505,39,39,39
59.0,16171678,60,60,60
25.0,389482,75,75,75
25.0,18894387,95,95,95
25.0,15545007,50,55,50
25.0,14726699,68,68,68
25.0,20886923,42,51,55
25.0,15970318,46,46,65
25.0,20502677,35,35,35
25.0,19080983,99,139,200
25.0,3939535,70,70,70
25.0,19292347,59,59,59
25.0,12385002,89,89,89
25.0,9844593,58,58,58
25.0,16637954,70,70,70
25.0,19671104,48,48,48
25.0,1090732,60,800,60
96.0,5316266,149,149,149
96.0,3431378,46,81,88
96.0,7598279,125,125,125
96.0,3790118,46,52,77
96.0,3442075,90,90,90
96.0,2060275,179,179,179
96.0,13430458,27,28,31
96.0,16624197,134,134,134
96.0,18673556,70,70,77
96.0,18693060,60,60,63
96.0,11506542,94,94,94
96.0,3939086,45,45,45
96.0,9310939,95,95,125
96.0,11202706,179,179,179
96.0,11202113,139,139,139
96.0,19902776,60,60,60
96.0,11202569,159,159,159
96.0,13235951,52,52,52
96.0,14312842,135,135,250
96.0,19157910,100,100,100
49.0,14714093,80,70,99
49.0,12315833,69,49,48
49.0,4165037,54,66,66
49.0,10459429,48,48,48
49.0,13709262,80,65,80
49.0,20621212,98,98,98
49.0,60084,100,100,100
49.0,15519679,99,99,99
49.0,17604613,25,25,25
49.0,19910689,120,120,120
49.0,15038302,89,89,89
49.0,18214493,40,40,40
49.0,9145902,99,109,99
49.0,13248672,72,73,82
49.0,19099720,65,65,75
49.0,20780654,60,60,100
49.0,607316,50,50,50
26.0,4164672,65,65,65
26.0,13698623,26,26,28
26.0,20526842,48,49,50
26.0,17764559,300,300,300
26.0,9986770,55,55,55
26.0,15453985,106,105,100
26.0,12405814,80,80,80
26.0,16506121,100,100,100
26.0,11778761,47,55,55
26.0,17271171,80,95,105
26.0,4434797,125,125,200
26.0,1717215,80,80,80
26.0,13691558,36,36,37
26.0,12134113,55,55,59
26.0,7916519,40,60,40
26.0,17971100,36,36,37
26.0,11656750,150,140,140
37.0,12952145,150,150,150
37.0,17381573,70,70,70
37.0,20455415,199,199,199
37.0,2893111,135,135,175
37.0,19057018,1000,1000,1000
37.0,18704413,173,173,275
37.0,20996586,300,210,350
37.0,2932263,180,180,250
37.0,1300097,1500,3500,1500
37.0,17791938,150,150,150
37.0,12955346,170,155,185
37.0,8609890,225,225,232
37.0,18874079,275,275,275
37.0,21008007,119,119,119
37.0,9707469,150,150,150
37.0,18157567,180,180,180
37.0,2793004,200,200,200
37.0,5791540,113,113,113
68.0,7204443,100,120,120
68.0,12834317,120,120,120
68.0,14349588,125,250,125
68.0,5320983,330,330,330
68.0,956412,330,330,330
68.0,6424227,150,150,150
68.0,1276554,200,200,200
68.0,21043381,135,155,150
68.0,512209,800,800,950
68.0,14125913,71,71,71
68.0,17000577,135,135,135
68.0,13221331,115,115,115
68.0,17220307,80,98,179
68.0,9174180,240,240,240
68.0,18748974,270,280,270
117.0,15536769,120,120,120
117.0,21069158,98,98,98
117.0,1669123,75,75,75
117.0,11190497,98,98,98
117.0,18689901,80,100,80
117.0,780205,225,225,225
117.0,9754637,59,99,129
117.0,11593365,220,220,220
117.0,20666353,228,228,237
117.0,204959,95,95,95
117.0,877431,84,175,84
117.0,9887276,200,200,200
117.0,13766593,160,230,275
117.0,498693,98,104,96
117.0,15286036,250,250,250
117.0,12205541,51,48,48
43.0,5862845,88,88,88
43.0,1654301,66,70,70
43.0,9479084,175,175,175
43.0,15854348,291,250,291
43.0,9707426,230,230,230
43.0,20828097,100,110,118
43.0,15327553,65,65,88
43.0,10827062,45,45,45
43.0,4956896,154,154,169
43.0,9710289,120,120,120
43.0,417935,248,219,219
43.0,12133132,60,60,60
43.0,15591309,85,85,85
43.0,1292008,80,80,80
43.0,17993604,144,165,185
43.0,2897471,80,75,80
43.0,19618401,120,120,120
43.0,10575777,110,110,110
43.0,16440103,200,200,200
43.0,17479792,78,70,70
66.0,5793707,125,125,125
66.0,8798499,91,75,80
66.0,329310,400,400,400
66.0,4257685,84,84,84
66.0,6346456,350,350,350
66.0,1607994,439,439,439
66.0,5372526,67,67,67
66.0,848508,50,75,50
66.0,6778747,350,340,410
66.0,4840794,160,160,160
66.0,18043457,90,90,90
66.0,20016469,140,140,140
66.0,710243,200,250,200
66.0,13714244,99,99,99
66.0,16190823,100,100,100
66.0,16271281,90,90,90
66.0,6944449,91,91,91
66.0,12293365,110,110,110
105.0,18107141,779,780,880
105.0,20245122,169,199,185
105.0,12684755,105,105,105
105.0,1708262,118,130,118
105.0,5534962,199,210,210
105.0,495651,500,500,500
105.0,8613171,549,424,299
105.0,19134112,215,215,236
105.0,17151230,86,100,86
105.0,1950588,200,200,175
105.0,20979762,80,80,80
105.0,12004935,90,90,90
105.0,12794623,48,48,48
105.0,13614923,259,259,259
105.0,20990325,130,150,150
105.0,13395513,146,147,149
105.0,83760,95,95,95
105.0,1070458,80,100,100
105.0,16188233,199,422,399
62.0,2658325,75,75,80
62.0,7789152,129,129,129
62.0,11680027,145,145,145
62.0,14015346,180,180,180
62.0,14122231,150,150,150
62.0,9343313,95,90,95
62.0,8163660,100,100,100
62.0,8720923,110,110,110
62.0,792835,140,157,163
62.0,10031436,90,90,90
62.0,13880772,999,999,999
62.0,7634327,250,250,250
62.0,14596193,55,95,55
62.0,3534443,150,150,150
62.0,15972733,75,75,75
62.0,9836702,549,900,879
82.0,7293330,62,62,66
82.0,19305374,219,219,226
82.0,5509771,184,150,184
82.0,1056256,724,724,724
82.0,14039287,40,40,40
82.0,3912794,100,100,100
82.0,9597629,350,350,350
82.0,9914098,64,64,64
82.0,8268716,250,300,250
82.0,6938827,229,229,229
82.0,24269,200,200,200
82.0,2092778,95,95,95
82.0,5939328,155,155,155
82.0,1559460,199,199,199
82.0,9446716,75,75,75
82.0,18997233,70,70,68
82.0,6197134,85,85,85
82.0,7293321,66,66,66
29.0,8623922,100,100,100
29.0,12999396,350,350,322
29.0,10361885,125,125,125
29.0,13613919,295,295,295
29.0,4199123,68,68,68
29.0,9614552,100,136,100
29.0,18597908,129,129,129
29.0,17859114,200,200,203
29.0,10546729,120,120,120
29.0,11100541,165,179,165
29.0,4759680,50,50,50
29.0,8594833,298,298,342
29.0,3748684,275,275,300
29.0,883423,150,150,150
29.0,14435,75,75,75
29.0,13506967,142,142,175
67.0,9825420,85,85,85
67.0,6627254,100,100,100
67.0,4227207,175,175,175
67.0,392549,69,69,69
67.0,41348,240,250,250
67.0,5892794,185,185,185
67.0,9769423,135,135,160
67.0,9969773,250,250,250
67.0,723457,64,64,64
67.0,6601284,155,186,155
67.0,796490,60,60,60
67.0,15631030,60,75,75
67.0,8986308,155,155,155
67.0,19289288,40,40,40
67.0,18972792,90,90,90
67.0,11506248,125,125,125
67.0,20901820,73,80,84
67.0,20188905,106,106,106
120.0,7660468,89,89,89
120.0,725270,502,450,425
120.0,1221962,150,150,150
120.0,19211630,299,325,305
120.0,14964943,290,290,299
120.0,9153256,150,150,150
120.0,5285753,229,229,229
120.0,16012433,375,375,375
120.0,3181834,1500,1500,1300
120.0,17517144,55,55,55
120.0,10009762,215,215,215
120.0,8369895,299,399,399
120.0,19050052,150,180,210
120.0,20249492,500,500,500
120.0,11419133,80,80,80
55.0,9777511,71,71,71
55.0,5864956,97,110,97
55.0,19162994,280,280,280
55.0,18034890,114,135,92
55.0,9881516,50,50,50
55.0,1604489,320,320,320
55.0,15083267,105,115,99
55.0,13953224,190,190,190
55.0,21026042,100,100,120
55.0,18933094,189,179,180
55.0,11903918,274,274,349
55.0,6831518,98,99,120
108.0,20756922,235,275,235
108.0,2186699,160,160,160
108.0,7348714,300,300,350
108.0,15769652,599,449,999
108.0,16069120,599,599,599
108.0,7275273,200,225,200
108.0,2255549,189,195,197
108.0,20480443,200,200,200
108.0,17174519,602,600,600
108.0,16321573,300,300,300
108.0,5621141,250,250,250
108.0,17473389,220,174,173
108.0,10148581,52,52,52
108.0,12022833,350,350,350
108.0,3344509,179,179,179
108.0,1805138,175,225,225
107.0,98663,175,175,175
107.0,398850,275,275,275
107.0,4720719,650,650,780
107.0,14609804,175,175,175
107.0,247778,199,199,199
107.0,11989606,189,219,309
107.0,14843553,215,215,215
107.0,20230324,200,200,200
107.0,14872587,150,150,150
107.0,2493039,155,165,225
107.0,12786165,85,85,85
107.0,2521380,65,65,65
107.0,5661080,170,195,180
107.0,19603259,249,249,249
107.0,9863860,65,65,65
107.0,2310445,150,150,150
98.0,6737815,200,200,200
98.0,3104652,325,325,325
98.0,10646179,225,225,225
98.0,4579424,220,220,220
98.0,14236416,150,143,139
98.0,10564375,180,180,180
98.0,15344255,154,159,158
98.0,7884922,159,159,159
98.0,1892319,110,110,89
98.0,17344027,93,91,93
98.0,18024772,129,129,169
98.0,17361133,85,85,85
98.0,4622005,145,145,145
98.0,6965441,220,220,220
98.0,3772353,1052,298,375
98.0,2089745,200,213,225
98.0,6730056,150,150,150
34.0,4438459,325,325,325
34.0,7945940,223,237,202
34.0,5292616,229,229,229
34.0,17387273,247,247,247
34.0,292047,90,90,90
34.0,17367004,207,303,236
34.0,17108224,723,525,346
34.0,6550702,112,112,112
34.0,2629613,269,259,269
34.0,9577296,222,204,218
34.0,13757845,199,199,199
34.0,12954177,260,350,260
34.0,101633,95,95,95
34.0,544324,150,150,185
34.0,100368,269,279,279
34.0,16001546,499,599,699
34.0,3782283,150,150,150
34.0,9104876,400,400,400
111.0,6450230,168,168,169
111.0,17323054,375,375,375
111.0,8568841,210,210,210
111.0,17512898,300,300,300
