amadeus_name,tripadvisor_name,amadeus_code,tripadvisor_url,amadeus_address,tripadvisor_address,lat,lon
Renaissance New York Hotel 57,Renaissance New York Hotel 57,BRNYCBRB,/Hotel_Review-g60763-d575732-Reviews-Renaissance_New_York_Hotel_57-New_York_City_New_York.html,130 East 57th St,"130 E 57th St, New York City, NY 10022-2726",40.76104,-73.96941
Hilton Gi New York Times Square South,Hilton Garden Inn New York Times Square South,GINYC302,/Hotel_Review-g60763-d12199886-Reviews-Hilton_Garden_Inn_New_York_Times_Square_South-New_York_City_New_York.html,326 West 37th Street,"326 West 37th Street, New York City, NY 10018",40.75448,-73.9936
Fairfield Inn Marriott 5th Ave,Fairfield Inn & Suites New York Manhattan/Fifth Avenue,FNNYCTMF,/Hotel_Review-g60763-d1486164-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Fifth_Avenue-New_York_City_New_York.html,21 West 37th Street,"21 West 37th Street, New York City, NY 10018",40.75106,-73.98448
The Surrey,The Surrey,WBNYC700,/Hotel_Review-g60763-d93566-Reviews-The_Surrey-New_York_City_New_York.html,20 East 76th Street,"20 East 76th Street, New York City, NY 10021-2643",40.77431,-73.96402
Hotel Boutique Grand Central,Hotel Boutique At Grand Central,YXNYCBGR,/Hotel_Review-g60763-d4446427-Reviews-Hotel_Boutique_At_Grand_Central-New_York_City_New_York.html,447 Lexington Ave,"447 Lexington Ave, 128 East 45th Street, New York City, NY 10017-3908",40.75298,-73.97461
Comfort Inn Midtown West,Comfort Inn Midtown West,CINYC548,/Hotel_Review-g60763-d3502291-Reviews-Comfort_Inn_Midtown_West-New_York_City_New_York.html,548 West 48th Street,"548 W 48th St, New York City, NY 10036-1102",40.76413,-73.99496
Courtyard Central Prk Marriott,Courtyard by Marriott New York Manhattan/Central Park,CYNYCPKC,/Hotel_Review-g60763-d5039852-Reviews-Courtyard_by_Marriott_New_York_Manhattan_Central_Park-New_York_City_New_York.html,1717 Broadway,"1717 Broadway, New York City, NY 10019",40.76435,-73.98228
Hotel Hugo,Hotel Hugo,XTNYCHGO,/Hotel_Review-g60763-d6219365-Reviews-Hotel_Hugo-New_York_City_New_York.html,525 Greenwich Street,"525 Greenwich St, New York City, NY 10013-1002",40.72643,-74.00896
The Hotel At Times Square,The Hotel at Times Square,IQNYC017,/Hotel_Review-g60763-d249711-Reviews-The_Hotel_at_Times_Square-New_York_City_New_York.html,59 West 46th Street,"59 West 46th Street, New York City, NY 10036-4120",40.75736,-73.98112
Hotel 91,The Hotel 91,WVNYC836,/Hotel_Review-g60763-d1048678-Reviews-The_Hotel_91-New_York_City_New_York.html,91 E Broadway,"91 E Broadway, New York City, NY 10002-7014",40.7134,-73.99361
Courtyard Midtown E Marriott,Courtyard New York Manhattan/Midtown East,CYNYCMEC,/Hotel_Review-g60763-d99371-Reviews-Courtyard_New_York_Manhattan_Midtown_East-New_York_City_New_York.html,866 Third Avenue,"866 3rd Avenue, New York City, NY 10022-6221",40.75727,-73.96965
Holiday Inn Nyc Times Sqr,Holiday Inn New York City - Times Square,HINYCD35,/Hotel_Review-g60763-d7737096-Reviews-Holiday_Inn_New_York_City_Times_Square-New_York_City_New_York.html,585 8th Avenue,"585 8th Ave, New York City, NY 10018-3003",40.75526,-73.99172
Hgu New York,HGU New York,WVNYC208,/Hotel_Review-g60763-d122015-Reviews-HGU_New_York-New_York_City_New_York.html,34 E 32nd St,"34 E 32nd St, New York City, NY 10016-5503",40.746,-73.98332
Hyatt Herald Square New York,Hyatt Herald Square New York,HYNYCHHH,/Hotel_Review-g60763-d1940859-Reviews-Hyatt_Herald_Square_New_York-New_York_City_New_York.html,30-32 West 31st Street,"30 W 31st Street, New York City, NY 10001",40.747,-73.98763
Fairfield Inn N Stes Marriott,Fairfield Inn & Suites New York Manhattan/Times Square,FNNYCFIF,/Hotel_Review-g60763-d1390172-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Times_Square-New_York_City_New_York.html,330 West 40th Street,"330 West 40th Street, Between 8th Ave. & 9th Ave., New York City, NY 10018",40.75631,-73.99159
Staybridge Stes Time Square Ma,Staybridge Suites Times Square - New York City,YZNYC930,/Hotel_Review-g60763-d1465162-Reviews-Staybridge_Suites_Times_Square_New_York_City-New_York_City_New_York.html,340 West 40th Street,"340 West 40th Street, New York City, NY 10018-1404",40.75643,-73.99187
Hampton Inn Manhattan Times Sq North,Hampton Inn Manhattan-Times Square North,HXNYC851,/Hotel_Review-g60763-d93457-Reviews-Hampton_Inn_Manhattan_Times_Square_North-New_York_City_New_York.html,851 Eighth Avenue,"851 Eighth Avenue, New York City, NY 10019-6237",40.76297,-73.98566
Hyatt House New York Chelsea,Hyatt House New York/Chelsea,HYNYCNHR,/Hotel_Review-g60763-d10390915-Reviews-Hyatt_House_New_York_Chelsea-New_York_City_New_York.html,815 Avenue Of The Americas,"815 Avenue of the Americas, New York City, NY 10001",40.74628,-73.9907
Courtyard Times Sq Marriott,Courtyard New York Manhattan/Times Square,CYNYCMDC,/Hotel_Review-g60763-d99368-Reviews-Courtyard_New_York_Manhattan_Times_Square-New_York_City_New_York.html,114 W 40th St,"114 W 40th St, New York City, NY 10018-2699",40.75386,-73.98578
Heritage Hotel New York City,Heritage Hotel New York City,YXNYC329,/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York.html,18 W. 25th St.,"18 W 25th St, at 5th Avenue, New York City, NY 10010-2703",40.74331,-73.99003
Broadway Plaza Hotel,Broadway Plaza Hotel,GDNYCBRO,/Hotel_Review-g60763-d223019-Reviews-Broadway_Plaza_Hotel-New_York_City_New_York.html,1155 Broadway,"1155 Broadway, New York City, NY 10001-7516",40.74439,-73.98891
Hotel 32 32,Hotel 32 32,GDNYCH32,/Hotel_Review-g60763-d6733290-Reviews-Hotel_32_32-New_York_City_New_York.html,32 E 32nd Street,"32 E 32nd St, New York City, NY 10016",40.74628,-73.98341
Holiday Inn Manhattan East,Holiday Inn NYC - Lower East Side,HINYCE8C,/Hotel_Review-g60763-d3236642-Reviews-Holiday_Inn_NYC_Lower_East_Side-New_York_City_New_York.html,150 Delancey Street,"150 Delancey Street, New York City, NY 10002-3308",40.7183,-73.98623
Hotel Giraffe By Library Hotel,Hotel Giraffe by Library Hotel Collection,XTNYCGIR,/Hotel_Review-g60763-d99762-Reviews-Hotel_Giraffe_by_Library_Hotel_Collection-New_York_City_New_York.html,365 Park Ave S,"365 Park Ave South, At 26th Street, New York City, NY 10016-8801",40.75858,-73.96805
Hotel Metro,Hotel Metro,WVNYCMET,/Hotel_Review-g60763-d99392-Reviews-Hotel_Metro-New_York_City_New_York.html,45 W. 35th Street,"45 W 35th St, New York City, NY 10001-2277",40.74975,-73.98551
Fitzpatrick Grand Centralhotel,Fitzpatrick Grand Central Hotel,YXNYCFIT,/Hotel_Review-g60763-d99327-Reviews-Fitzpatrick_Grand_Central_Hotel-New_York_City_New_York.html,141 East 44th Street,"141 East 44th Street, New York City, NY 10017-4006",40.75242,-73.97448
The Evelyn,The Evelyn,BTNYCGER,/Hotel_Review-g60763-d99389-Reviews-The_Evelyn-New_York_City_New_York.html,7 East 27th Street,"7 East 27th Street, New York City, NY 10016-8701",40.74398,-73.98698
Hotel Belleclair,Hotel Belleclaire,BTNYCBLC,/Hotel_Review-g60763-d93390-Reviews-Hotel_Belleclaire-New_York_City_New_York.html,250 W 77th Street,"250 West 77th Street, New York City, NY 10024-6810",40.78255,-73.98111
The Sherry Netherland Lvx,The Sherry-Netherland Hotel,PHNYCSNH,/Hotel_Review-g60763-d93559-Reviews-The_Sherry_Netherland_Hotel-New_York_City_New_York.html,781 Fifth Avenue,"781 Fifth Avenue, At 59th Street, New York City, NY 10022-1092",40.76433,-73.97252
Pod 39 Hotel,Pod 39 Hotel,OKNYCP39,/Hotel_Review-g60763-d3235844-Reviews-Pod_39_Hotel-New_York_City_New_York.html,145 East 39th Street,"145 E 39th Street, New York City, NY 10016-0913",40.74939,-73.97695
Hotel Americano,Hotel Americano,DSNYCHAM,/Hotel_Review-g60763-d2151571-Reviews-Hotel_Americano-New_York_City_New_York.html,518 West 27th Street,"518 W 27th St, New York City, NY 10001-5506",40.75043,-74.00284
The Benjamin,The Benjamin,NYNYC105,/Hotel_Review-g60763-d217626-Reviews-The_Benjamin-New_York_City_New_York.html,125 East 50th Street,"125 East 50th Street, at Lexington Avenue, New York City, NY 10022-9501",40.75624,-73.97207
"Hotel Henri, A Wyndham Hotel","Hotel Henri, A Wyndham Hotel",WYNYC998,/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri_A_Wyndham_Hotel-New_York_City_New_York.html,37 West 24th Street,"37 West 24th street, New York City, NY 10010",40.74326,-73.99106
Night Hotel Times Square,Night Times Square,DZNYCSHN,/Hotel_Review-g60763-d93376-Reviews-Night_Times_Square-New_York_City_New_York.html,157 West 47th Street,"157 West 47th Street, (between 6th & 7th Avenues), New York City, NY 10036-1503",40.75907,-73.9837
Crosby Street Hotel,Crosby Street Hotel,DSNYCCSH,/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York.html,79 Crosby Street,"79 Crosby Street, New York City, NY 10012",40.72299,-73.99741
Off Soho Suites Hotel,Off Soho Suites,UINYCOSG,/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York.html,11 Rivington Street,"11 Rivington Street, New York City, NY 10002-1244",40.7215,-73.99312
Best Western Premier Herald Sq,Best Western Premier Herald Square,BWNYC152,/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York.html,48 W 36th St,"50 W 36th Street, New York City, NY 10018",40.75036,-73.98526
Ace Hotel Nyc,Ace Hotel New York,YXNYCAHN,/Hotel_Review-g60763-d1201072-Reviews-Ace_Hotel_New_York-New_York_City_New_York.html,20 West 29th Street,"20 West 29th Street, at Broadway, New York City, NY 10001-4502",40.74584,-73.98811
Hampton Inn Manhattan Grand Central,Hampton Inn Manhattan Grand Central,HXNYC897,/Hotel_Review-g60763-d3572587-Reviews-Hampton_Inn_Manhattan_Grand_Central-New_York_City_New_York.html,231 East 43rd Street,"231 E 43rd St, New York City, NY 10017-4701",40.75095,-73.97217
The Inn At Irving Place,The Inn at Irving Place,UILGAIIP,/Hotel_Review-g60763-d93581-Reviews-The_Inn_at_Irving_Place-New_York_City_New_York.html,56 Irving Place,"56 Irving Pl, New York City, NY 10003-2314",40.73596,-73.98696
Ameritania Hotel,Ameritania Hotel,WWNYCAME,/Hotel_Review-g60763-d99332-Reviews-Ameritania_Hotel-New_York_City_New_York.html,230 West 54th Street,"230 West 54th Street, New York City, NY 10019-5594",40.76408,-73.98269
Moxy By Marriott Nyc Times Sq,Moxy NYC Times Square,OXNYCOXO,/Hotel_Review-g60763-d12301470-Reviews-Moxy_NYC_Times_Square-New_York_City_New_York.html,485 7th Avenue,"485 7th Avenue, New York City, NY 10018",40.75246,-73.98949
Econo Lodge Times Square,Econo Lodge Times Square,EONYC318,/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York.html,302 West 47th Street,"302 West 47th Street, New York City, NY 10036",40.76046,-73.98754
Hampton Inn Manhattan Times Sq South,Hampton Inn Manhattan/Times Square South,HXNYC337,/Hotel_Review-g60763-d1500405-Reviews-Hampton_Inn_Manhattan_Times_Square_South-New_York_City_New_York.html,337 West 39th Street,"337 West 39th Street, New York City, NY 10018-1401",40.75633,-73.99303
La Quinta Inn Ste Manhattan,La Quinta Inn & Suites Manhattan,LQNYC751,/Hotel_Review-g60763-d99774-Reviews-La_Quinta_Inn_Suites_Manhattan-New_York_City_New_York.html,17 West 32nd Street,"17 West 32nd St, New York City, NY 10001-3820",40.74809,-73.98756
Comfort Inn Times Square South Area,Comfort Inn Times Square South,CINYC325,/Hotel_Review-g60763-d673077-Reviews-Comfort_Inn_Times_Square_South-New_York_City_New_York.html,305 West 39th Street,"305 W 39th St, (39th St and 8th Ave), New York City, NY 10018-1401",40.75555,-73.99178
Hyatt Place New York Midtown South,Hyatt Place New York Midtown South,HYNYCSIM,/Hotel_Review-g60763-d2554351-Reviews-Hyatt_Place_New_York_Midtown_South-New_York_City_New_York.html,52 West 36th Street,"52 W 36th St # 54, New York City, NY 10018-8029",40.7504,-73.98582
Crowne Plaza Midtown Manhattan,Crowne Plaza HY36 Midtown Manhattan,CPNYC0DD,/Hotel_Review-g60763-d11854022-Reviews-Crowne_Plaza_HY36_Midtown_Manhattan-New_York_City_New_York.html,320 West 36th Street,"320 W 36th St, New York City, NY 10018",40.75374,-73.99374
Hotel Elysee By Library Hotel,Hotel Elysee by Library Hotel Collection,XTNYC801,/Hotel_Review-g60763-d93340-Reviews-Hotel_Elysee_by_Library_Hotel_Collection-New_York_City_New_York.html,60 East 54th Street,"60 E. 54th St., New York City, NY 10022-4642",40.75858,-73.96805
"The Beekman, A Thompson Hotel","The Beekman, A Thompson Hotel",TMNYCBEE,/Hotel_Review-g60763-d8615610-Reviews-The_Beekman_A_Thompson_Hotel-New_York_City_New_York.html,123 Nassau Street,"123 Nassau St, New York City, NY 10038-2415",40.71135,-74.00668
Four Seasons New York Downtown,Four Seasons Hotel New York Downtown,FSNYC009,/Hotel_Review-g60763-d10330604-Reviews-Four_Seasons_Hotel_New_York_Downtown-New_York_City_New_York.html,27 Barclay Street,"27 Barclay Street, New York City, NY 10007",40.71249,-74.00905
French Quarters Guest Apt,The French Quarters Guest Apartments,HONYCFQG,/Hotel_Review-g60763-d1415127-Reviews-The_French_Quarters_Guest_Apartments-New_York_City_New_York.html,346 West 46th Street,"346 W. 46th Street, New York City, NY 10036-3881",40.76032,-73.98978
1 Hotel Central Park,1 Hotel Central Park,BINYCHOT,/Hotel_Review-g60763-d6883205-Reviews-1_Hotel_Central_Park-New_York_City_New_York.html,1414 Avenue Of The Americas,"1414 Avenue of the Americas, New York City, NY 10019-2514",40.76476,-73.97681
Park Hyatt New York,Park Hyatt New York,HYNYCPNY,/Hotel_Review-g60763-d6582176-Reviews-Park_Hyatt_New_York-New_York_City_New_York.html,153 West 57th Street,"153 West 57th Street, New York City, NY 10019-2214",40.76538,-73.97896
Even Hotel Midtown East,EVEN Hotel New York - Midtown East,VNNYC5D0,/Hotel_Review-g60763-d10131859-Reviews-EVEN_Hotel_New_York_Midtown_East-New_York_City_New_York.html,219 East 44th Street,"219 E 44th St, New York City, NY 10017-4305",40.75183,-73.97237
The Ritz-carlton Central Park,"The Ritz-Carlton New York, Central Park",RZNYCCPZ,/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York.html,50 Central Park South,"50 Central Park South, New York City, NY 10019-1613",40.7673,-73.98009
The Lex Nyc,The Lex NYC,PWNYC087,/Hotel_Review-g60763-d6201200-Reviews-The_Lex_NYC-New_York_City_New_York.html,67 Lexington Ave,"67 Lexington Ave, New York City, NY 10010-1833",40.74094,-73.98335
Residence Inn Midtown Marriott,Residence Inn New York Manhattan / Midtown East,RCNYCHAR,/Hotel_Review-g60763-d3583686-Reviews-Residence_Inn_New_York_Manhattan_Midtown_East-New_York_City_New_York.html,148 East 48th Street,"148 East 48th Street, New York City, NY 10017",40.75502,-73.97286
San Carlos Hotel,San Carlos Hotel,UINYCSCH,/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York.html,150 East 50th Street,"150 East 50th Street, New York City, NY 10022-9500",40.75621,-73.9718
Cambria Hotel Ny Chelsea,Cambria hotel & suites New York - Chelsea,EZNYC537,/Hotel_Review-g60763-d7130807-Reviews-Cambria_hotel_suites_New_York_Chelsea-New_York_City_New_York.html,123 W 28th Street,"123 W 28th Street, New York City, NY 10001-6120",40.74673,-73.99157
The New York Edition,The New York EDITION,EBNYCEBE,/Hotel_Review-g60763-d7787303-Reviews-The_New_York_EDITION-New_York_City_New_York.html,5 Madison Avenue,"5 Madison Ave, New York City, NY 10010-3678",40.7412,-73.98773
Hyatt Centric Times Square New York,Hyatt Centric Times Square New York,HYNYCTSQ,/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York.html,135 W 45th St,"135 West 45th Street, New York City, NY 10036-4004",40.75757,-73.98403
The Nomad Hotel,The NoMad Hotel,WVNYC380,/Hotel_Review-g60763-d2643161-Reviews-The_NoMad_Hotel-New_York_City_New_York.html,1170 Broadway,"1170 Broadway uf hfhdj, New York City, NY 10001-7507",40.74499,-73.98873
The Peninsula New York,The Peninsula New York,PNNYC772,/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York.html,700 Fifth Avenue At 55th St,"700 Fifth Avenue at 55th Street, New York City, NY 10019",40.76724,-73.98844
Park South Hotel,Park South Hotel,YXNYCPSH,/Hotel_Review-g60763-d225942-Reviews-Park_South_Hotel-New_York_City_New_York.html,124 East 28th Street,"124 East 28th Street, New York City, NY 10016-8402",40.74278,-73.9829
Homewood New York Manhattan Times Square,"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",HGNYC454,/Hotel_Review-g60763-d5040757-Reviews-Homewood_Suites_by_Hilton_New_York_Midtown_Manhattan_Times_Square_South_NY-New_York_Cit.html,312 West 37th Street,"312 West 37th Street, New York City, NY 10018-4208",40.75427,-73.99308
Arlo Nomad,Arlo NoMad,CKNYCTOM,/Hotel_Review-g60763-d10541730-Reviews-Arlo_NoMad-New_York_City_New_York.html,11 E 31st Street,"11 E 31st St, New York City, NY 10016-6701",40.74636,-73.98495
Fitzpatrick Manhattan Hotel,Fitzpatrick Manhattan Hotel,YXNYCFMH,/Hotel_Review-g60763-d113309-Reviews-Fitzpatrick_Manhattan_Hotel-New_York_City_New_York.html,687 Lexington Avenue,"687 Lexington Ave, between 56th & 57th Street, New York City, NY 10022-2662",40.76057,-73.96948
The Bernic Hotel,The Bernic Hotel,WVNYC826,/Hotel_Review-g60763-d8776490-Reviews-The_Bernic_Hotel-New_York_City_New_York.html,145 East 47th Street,"145 E 47th St, New York City, NY 10017-2007",40.75441,-73.97313
Mandarin Oriental New York,"Mandarin Oriental, New York",MONYCMO1,/Hotel_Review-g60763-d281071-Reviews-Mandarin_Oriental_New_York-New_York_City_New_York.html,80  Columbus Circle At 60th Street,"80 Columbus Circle at 60th Street, New York City, NY 10023-5800",40.76901,-73.98293
Chelsea Pines Inn,Chelsea Pines Inn,YXJFK102,/Hotel_Review-g60763-d122020-Reviews-Chelsea_Pines_Inn-New_York_City_New_York.html,317 West 14th Street,"317 West 14th Street, New York City, NY 10014-5015",40.74042,-74.00333
Hotel Pennsylvania,Hotel Pennsylvania New York,YXNYCNHP,/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania_New_York-New_York_City_New_York.html,401 Seventh Avenue At 33rd Street,"401 Seventh Avenue at 33rd Street, New York City, NY 10001",40.74969,-73.99055
Hotel 31,Hotel 31,YXNYC068,/Hotel_Review-g60763-d126257-Reviews-Hotel_31-New_York_City_New_York.html,120 East 31st Street,"120 East 31 Street, New York City, NY 10016-6809",40.74469,-73.98161
Royal Park Hotel And Hostel,Royal Park Hotel,WVNYC624,/Hotel_Review-g60763-d1155229-Reviews-Royal_Park_Hotel-New_York_City_New_York.html,258 W 97th Street,"258 West 97th Street, New York City, NY 10025-6218",40.79553,-73.97189
Chelsea Savoy Hotel,Chelsea Savoy Hotel,WVNYC254,/Hotel_Review-g60763-d112019-Reviews-Chelsea_Savoy_Hotel-New_York_City_New_York.html,204 West 23rd Street,"204 W 23rd St, New York City, NY 10011-2301",40.74398,-73.99608
Seton Hotel,Seton Hotel,YXNYCHSE,/Hotel_Review-g60763-d121991-Reviews-Seton_Hotel-New_York_City_New_York.html,144 East 40th Street,"144 East 40th Street, New York City, NY 10016-1762",40.74996,-73.97663
Comfort Inn Manhattan Bridge,Comfort Inn Manhattan Bridge,CINYC355,/Hotel_Review-g60763-d1383001-Reviews-Comfort_Inn_Manhattan_Bridge-New_York_City_New_York.html,61-63 Chrystie Street,"61 - 63 Chrystie Street, New York City, NY 10002",40.7168,-73.99449
Marrakech Hotel Nyc,Marrakech Hotel,WVNYC619,/Hotel_Review-g60763-d113343-Reviews-Marrakech_Hotel-New_York_City_New_York.html,2688 Broadway,"2688 Broadway, New York City, NY 10025-4411",40.79876,-73.96827
Clarion Hotel Park Avenue,Clarion Hotel Park Avenue,CCNYC222,/Hotel_Review-g60763-d224217-Reviews-Clarion_Hotel_Park_Avenue-New_York_City_New_York.html,429 Park Avenue South,"429 Park Ave S, New York City, NY 10016-8002",40.7441,-73.98334
Amsterdam Court,Amsterdam Court Hotel,YHNYCCOU,/Hotel_Review-g60763-d80075-Reviews-Amsterdam_Court_Hotel-New_York_City_New_York.html,226 West 50th Street,"226 West 50th Street, New York City, NY 10019-6702",40.76167,-73.98477
Manhattan West Hotel,Midtown West Hotel,YXNYC303,/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York.html,303 West 30th Street,"303 W 30th St, New York City, NY 10001-2703",40.74976,-73.99539
Americana Inn,Americana Inn,YXNYCSLE,/Hotel_Review-g60763-d121981-Reviews-Americana_Inn-New_York_City_New_York.html,69 West 38th Street,"69 W 38th St, New York City, NY 10018-5512",40.75191,-73.98487
The Wall Street Inn,The Wall Street Inn,SCNYC008,/Hotel_Review-g60763-d251906-Reviews-The_Wall_Street_Inn-New_York_City_New_York.html,9 South William Street,"9 S William St, Manhattan, New York City, NY 10004-2412",40.70458,-74.01027
"Club Quarters Hotel, Wall St","Club Quarters Hotel, Wall Street",CQNYC684,/Hotel_Review-g60763-d217623-Reviews-Club_Quarters_Hotel_Wall_Street-New_York_City_New_York.html,52 William Street,"52 William St, New York City, NY 10005-2876",40.7068,-74.00899
Days Inn Hotel New York City-b,Days Inn Hotel New York City-Broadway,DINYC486,/Hotel_Review-g60763-d142114-Reviews-Days_Inn_Hotel_New_York_City_Broadway-New_York_City_New_York.html,215 West 94th Street,"215 West 94th Street, New York City, NY 10025-6922",40.79294,-73.97181
New York Marriott Downtown,New York Marriott Downtown,MCNYCWSM,/Hotel_Review-g60763-d93477-Reviews-New_York_Marriott_Downtown-New_York_City_New_York.html,85 West Street At Albany Stree,"85 West St, at Albany Street, New York City, NY 10006-1532",40.70975,-74.01468
Comfort Inn Lower East Side,Comfort Inn Lower East Side,CINYC551,/Hotel_Review-g60763-d5888246-Reviews-Comfort_Inn_Lower_East_Side-New_York_City_New_York.html,154 Madison Street,"154 Madison St, New York City, NY 10002-7004",40.71222,-73.99269
Hotel Wolcott,Wolcott Hotel,UZNYC448,/Hotel_Review-g60763-d93333-Reviews-Wolcott_Hotel-New_York_City_New_York.html,4 West 31st Street,"4 West 31st Street, Between 5th Avenue & Broadway, New York City, NY 10001-3594",40.74656,-73.98605
Manhattan Broadway Hotel,Manhattan Broadway Hotel,WVNYC062,/Hotel_Review-g60763-d122007-Reviews-Manhattan_Broadway_Hotel-New_York_City_New_York.html,273 West 38th Street,"273 W 38th St, New York City, NY 10018-4416",40.75473,-73.99106
Holiday Inn Nyc Wall Street,Holiday Inn New York City - Wall Street,HINYC596,/Hotel_Review-g60763-d1234559-Reviews-Holiday_Inn_New_York_City_Wall_Street-New_York_City_New_York.html,51 Nassau Street,"51 Nassau Street, New York City, NY 10038-4506",40.70893,-74.00902
Doubletree By Hilton Nyc Financial,DoubleTree by Hilton Hotel New York City - Financial District,DTNYC917,/Hotel_Review-g60763-d1858923-Reviews-DoubleTree_by_Hilton_Hotel_New_York_City_Financial_District-New_York_City_New_York.html,8 Stone Street,"8 Stone Street, New York City, NY 10004-2202",40.70405,-74.01259
Aloft Harlem,Aloft Harlem,ALNYC353,/Hotel_Review-g60763-d1878946-Reviews-Aloft_Harlem-New_York_City_New_York.html,2296 Frederick Douglass Blvd,"2296 Frederick Douglass Blvd, New York City, NY 10027-5324",40.80906,-73.95155
Orchard Street Hotel,Orchard Street Hotel,WVNYC109,/Hotel_Review-g60763-d7939016-Reviews-Orchard_Street_Hotel-New_York_City_New_York.html,163 Orchard Street,"163 Orchard St, New York City, NY 10002-2214",40.72117,-73.98894
Hudson River Hotel,Hudson River Hotel,GDNYCHRH,/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York.html,442 W 36th Street,"442 W 36th St, New York City, NY 10018-6344",40.75553,-73.99759
The Franklin Hotel,The Franklin,XTNYCFRA,/Hotel_Review-g60763-d93575-Reviews-The_Franklin-New_York_City_New_York.html,164 E 87th St,"164 E 87th St, Off Lexington Avenue, New York City, NY 10128-2206",40.77969,-73.95453
Best Western Bowery Hanbee Htl,Best Western Bowery Hanbee Hotel,BWNYC133,/Hotel_Review-g60763-d1060157-Reviews-Best_Western_Bowery_Hanbee_Hotel-New_York_City_New_York.html,231 Grand Street,"231 Grand Street, New York City, NY 10013-4246",40.7184,-73.99518
Holiday Inn Exp Nyc Wall St,Holiday Inn Express New York City-Wall Street,HINYC9C1,/Hotel_Review-g60763-d1465008-Reviews-Holiday_Inn_Express_New_York_City_Wall_Street-New_York_City_New_York.html,126 Water Street,"126 Water St, New York City, NY 10005-1615",40.70541,-74.00705
"Gatsby Hotel, An Ascend Hotel Collection",The Gatsby Hotel,NZNYC425,/Hotel_Review-g60763-d247814-Reviews-The_Gatsby_Hotel-New_York_City_New_York.html,135 East Houston Street,"135 East Houston Street, New York City, NY 10002-1018",40.72385,-73.99147
Courtyard Wtc Area Marriott,Courtyard New York Downtown Manhattan / World Trade Center Area,CYNYCXMC,/Hotel_Review-g60763-d9761545-Reviews-Courtyard_New_York_Downtown_Manhattan_World_Trade_Center_Area-New_York_City_New_York.html,133 Greenwich Street,"133 Greenwich Street, New York City, NY 10006-1507",40.70933,-74.01266
Dylan Hotel,Dylan Hotel NYC,PWNYCDYL,/Hotel_Review-g60763-d217622-Reviews-Dylan_Hotel_NYC-New_York_City_New_York.html,52 E 41st St,"52 E 41st St, New York City, NY 10017-6211",40.75192,-73.97937
Eurostars Wall Street,Eurostars Wall Street,LEJFK129,/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York.html,129 Front Street,"129 Front St, New York City, NY 10005-1636",40.70523,-74.00633
Cosmopolitan Now The Frederick,The Frederick Hotel,BTNYC7A3,/Hotel_Review-g60763-d93351-Reviews-The_Frederick_Hotel-New_York_City_New_York.html,95 West Broadway,"95 West Broadway, At Chambers Street, New York City, NY 10007-1151",40.71494,-74.00969
Aloft Manhattan Downtown Financial Dist,Aloft Manhattan Downtown Financial District,ALNYC647,/Hotel_Review-g60763-d7605857-Reviews-Aloft_Manhattan_Downtown_Financial_District-New_York_City_New_York.html,49 53 Ann Street,"49 Ann St # 53, New York City, NY 10038-2409",40.71029,-74.0069
Millennium Hilton New York Downtown,Millennium Hilton New York Downtown,HHNYC402,/Hotel_Review-g60763-d262330-Reviews-Millennium_Hilton_New_York_Downtown-New_York_City_New_York.html,55 Church Street,"55 Church Street, New York City, NY 10007-2939",40.71153,-74.01054
Hampton Inn Manhattan Seaport,Hampton Inn Manhattan-Seaport-Financial District,HXNYC320,/Hotel_Review-g60763-d277882-Reviews-Hampton_Inn_Manhattan_Seaport_Financial_District-New_York_City_New_York.html,320 Pearl St,"320 Pearl St, New York City, NY 10038-1604",40.70906,-74.00199
Residence Inn Downtwn Marriott,Residence Inn New York Downtown Manhattan/World Trade Center Area,RCNYCRLR,/Hotel_Review-g60763-d7182804-Reviews-Residence_Inn_New_York_Downtown_Manhattan_World_Trade_Center_Area-New_York_City_New_Yor.html,170 Broadway,"170 Broadway, at 4 Maiden Lane adjacent to the Gap, New York City, NY 10038-4154",40.70953,-74.00981
