Da Vinci Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"244 W 56th St, New York City, NY 10019-4306",40.7656207,-73.9830134024271,,573,3.5,,103-311,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Multilingual Staff', 'Air Conditioning']",373,3.0 Star Hotel,/Hotel_Review-g60763-d99365-Reviews-Da_Vinci_Hotel-New_York_City_New_York.html
The Blakely New York,2017-11-01,12/9/2017,12/10/2017,2,1,"136 W 55th St, Bet. 6th & 7th Avenue, New York City, NY 10019-5305",,,Orbitz.com,"1,449",4.5,440,218-506,"['Restaurant', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Microwave', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Tennis Court']",129,4.5 Star Hotel,/Hotel_Review-g60763-d93445-Reviews-The_Blakely_New_York-New_York_City_New_York.html
Hotel Deauville,2017-11-01,12/9/2017,12/10/2017,2,1,"103 East 29th Street, New York City, NY 10016",40.7438963,-73.9830239,Hotwire.com,,4,,135-175,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",351,2.0 Star Hotel,/Hotel_Review-g60763-d93364-Reviews-Hotel_Deauville-New_York_City_New_York.html
"Marriott Vacation Club Pulse, New York City",2017-11-01,12/9/2017,12/10/2017,2,1,"33 West 37th Street, New York City, NY 10018-6201",40.75126905,-73.9848202179554,Hotels.com,"2,339",4.5,,167-553,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",173,4.0 Star Hotel,/Hotel_Review-g60763-d1186070-Reviews-Marriott_Vacation_Club_Pulse_New_York_City-New_York_City_New_York.html
36 Hudson Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"449 W 36th St, 36th Street between 9th & 10th Avenues, New York City, NY 10018-6303",,,Hotels.com,,4,,128-349,"['Free High Speed Internet ( WiFi )', 'Multilingual Staff', 'Airport Transportation', 'Air Conditioning']",362,3.0 Star Hotel,/Hotel_Review-g60763-d1217376-Reviews-36_Hudson_Hotel-New_York_City_New_York.html
Chelsea Inn - 11th Avenue,2017-11-01,12/9/2017,12/10/2017,2,1,"184 11th Avenue, at 23rd Street, New York City, NY 10011",,,,18,2,,,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",442,,/Hotel_Review-g60763-d540545-Reviews-Chelsea_Inn_11th_Avenue-New_York_City_New_York.html
Mayfair Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"242 W 49th St, New York City, NY 10019-7405",40.7611635,-73.9859805284333,Hotels.com,,3.5,,112-286,"['Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Restaurant', 'Multilingual Staff', 'Air Conditioning', 'Bar/Lounge', 'Restaurant']",368,3.0 Star Hotel,/Hotel_Review-g60763-d99357-Reviews-Mayfair_Hotel-New_York_City_New_York.html
Hampton Inn Manhattan-Chelsea,2017-11-01,12/9/2017,12/10/2017,2,1,"108 West 24th Street, New York City, NY 10011-1902",40.74363625,-73.9930940621501,Hampton.com,"1,920",4.5,446,169-485,"['Fitness Center with Gym / Workout Room', 'Free Internet', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Fitness Center with Gym / Workout Room']",162,3.0 Star Hotel,/Hotel_Review-g60763-d268216-Reviews-Hampton_Inn_Manhattan_Chelsea-New_York_City_New_York.html
Bristol Plaza,2017-11-01,12/9/2017,12/10/2017,2,1,"210 E 65th St, New York City, NY 10065-6697",,,,9,5,,,"['Fitness Center with Gym / Workout Room', 'Pool', 'Free High Speed Internet ( WiFi )', 'Spa', 'Concierge', 'Fitness Center with Gym / Workout Room', 'Pool', 'Spa']",390,,/Hotel_Review-g60763-d93418-Reviews-Bristol_Plaza-New_York_City_New_York.html
Lotte New York Palace,2017-11-01,12/9/2017,12/10/2017,2,1,"455 Madison Avenue, New York City, NY 10022-6845",40.75798035,-73.9747690045104,,"3,516",4.5,,277-1089,"['Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Business Center with Internet Access', 'Room Service', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa']",80,4.5 Star Hotel,/Hotel_Review-g60763-d126260-Reviews-Lotte_New_York_Palace-New_York_City_New_York.html
