name,date_scraped,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
DoubleTree by Hilton Hotel Nanuet,2017-11-07,2017-12-09,2017-12-10,2,1,"425 E Route 59, Nanuet, NY 10954-2908",Doubletree.com,457,4.5,127,111-204,"['Pool', 'Room Service', 'Free Parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free Parking', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Banquet Room', 'Conference Facilities', 'Dry Cleaning', 'Self-Serve Laundry', 'Air Conditioning', 'Pool', 'Restaurant', 'Bar/Lounge', 'Hot Tub', 'Fitness Center with Gym / Workout Room', 'Heated pool', 'Indoor pool']",1,3.0 Star Hotel,/Hotel_Review-g48224-d8277068-Reviews-DoubleTree_by_Hilton_Hotel_Nanuet-Nanuet_New_York.html
Wyndham Garden Brooklyn Sunset Park,2017-11-07,2017-12-09,2017-12-10,2,1,"457 39th St, Brooklyn, NY 11232-2909",AMOMA,246,4,235,147-319,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Room Service', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Refrigerator in room', 'Microwave', 'Restaurant', 'Bar/Lounge']",21,4.0 Star Hotel,/Hotel_Review-g60827-d8355861-Reviews-Wyndham_Garden_Brooklyn_Sunset_Park-Brooklyn_New_York.html
The Benjamin,2017-11-07,2017-12-09,2017-12-10,2,1,"125 East 50th Street, at Lexington Avenue, New York City, NY 10022-9501",Booking.com,"2,744",4.5,586,230-674,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",92,4.5 Star Hotel,/Hotel_Review-g60763-d217626-Reviews-The_Benjamin-New_York_City_New_York.html
Henry Norman Hotel,2017-11-07,2017-12-09,2017-12-10,2,1,"251 N Henry St, Brooklyn, NY 11222-1939",Booking.com,669,5,299,215-419,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Fitness Center with Gym / Workout Room']",1,3.5 Star Hotel,/Hotel_Review-g60827-d6696297-Reviews-Henry_Norman_Hotel-Brooklyn_New_York.html
Courtyard by Marriott Tarrytown Westchester County,2017-11-07,2017-12-09,2017-12-10,2,1,"475 White Plains Rd, Tarrytown, NY 10591-4904",TripAdvisor,625,4.5,121,127-243,"['Free Parking', 'Pool', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Restaurant', 'Free Parking', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Conference Facilities', 'Pool', 'Fitness Center with Gym / Workout Room', 'Heated pool', 'Indoor pool', 'Restaurant', 'Tennis Court']",1,3.0 Star Hotel,/Hotel_Review-g48720-d93838-Reviews-Courtyard_by_Marriott_Tarrytown_Westchester_County-Tarrytown_New_York.html
Best Western Plus Morristown Inn,2017-11-07,2017-12-09,2017-12-10,2,1,"270 South St, Morristown, NJ 07960-6019",BestWestern.com,387,4.5,140,127-239,"['Free High Speed Internet ( WiFi )', 'Free Parking', 'Restaurant', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Breakfast included', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Shuttle Bus Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Microwave', 'Restaurant', 'Fitness Center with Gym / Workout Room']",2,3.0 Star Hotel,/Hotel_Review-g60906-d75921-Reviews-Best_Western_Plus_Morristown_Inn-Morristown_Morris_County_New_Jersey.html
Marco LaGuardia Hotel by Lexington,2017-11-07,2017-12-09,2017-12-10,2,1,"13707 Northern Blvd, Flushing, NY 11354-4116",Booking.com,434,4,179,183-285,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Bar/Lounge', 'Business Center with Internet Access', 'Shuttle Bus Service', 'Airport Transportation', 'Meeting Rooms', 'Laundry Service', 'Multilingual Staff', 'Room Service', 'Dry Cleaning', 'Self-Serve Laundry', 'Conference Facilities', 'Air Conditioning', 'Microwave', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",4,3.5 Star Hotel,/Hotel_Review-g47729-d601474-Reviews-Marco_LaGuardia_Hotel_by_Lexington-Flushing_Queens_New_York.html
The William Vale,2017-11-07,2017-12-09,2017-12-10,2,1,"111 North 12th Street, Brooklyn, NY 11249",Booking.com,398,4.5,499,293-859,"['Pool', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Pool', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Outdoor pool']",8,5.0 Star Hotel,/Hotel_Review-g60827-d8738248-Reviews-The_William_Vale-Brooklyn_New_York.html
Distrikt Hotel New York City,2017-11-07,2017-12-09,2017-12-10,2,1,"342 West 40th Street, New York City, NY 10018-1404",AMOMA,"5,423",4.5,397,197-513,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Bar/Lounge', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Airport Transportation', 'Dry Cleaning', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge']",70,4.0 Star Hotel,/Hotel_Review-g60763-d1503474-Reviews-Distrikt_Hotel_New_York_City-New_York_City_New_York.html
Hampton Inn & Suites Newark-Harrison-Riverwalk,2017-11-07,2017-12-09,2017-12-10,2,1,"100 Passaic Ave, Harrison, NJ 07029-1318",Hampton.com,979,4.5,144,134-221,"['Pool', 'Free Parking', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Bar/Lounge', 'Free Parking', 'Business Center with Internet Access', 'Breakfast included', 'Shuttle Bus Service', 'Airport Transportation', 'Meeting Rooms', 'Laundry Service', 'Multilingual Staff', 'Conference Facilities', 'Dry Cleaning', 'Banquet Room', 'Self-Serve Laundry', 'Microwave', 'Pool', 'Fitness Center with Gym / Workout Room', 'Heated pool', 'Indoor pool', 'Bar/Lounge']",1,2.5 Star Hotel,/Hotel_Review-g46494-d523919-Reviews-Hampton_Inn_Suites_Newark_Harrison_Riverwalk-Harrison_New_Jersey.html
