name,check_in,check_out,adults,rooms,provider,reviews,rating,price,features,url
Baccarat Hotel & Residences New York,2017-12-09,2017_12_10,2,1,Orbitz.com,419,4.5,1375,"['Free High Speed Internet ( WiFi )', 'Pool', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Breakfast Available', 'Banquet Room', 'Babysitting', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Pool', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room', 'Heated pool', 'Indoor pool']",/Hotel_Review-g60763-d7314002-Reviews-Baccarat_Hotel_Residences_New_York-New_York_City_New_York.html
The French Quarters Guest Apartments,2017-12-09,2017_12_10,2,1,Booking.com,"1,147",4.5,339,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge']",/Hotel_Review-g60763-d1415127-Reviews-The_French_Quarters_Guest_Apartments-New_York_City_New_York.html
1 Hotel Central Park,2017-12-09,2017_12_10,2,1,Travelocity,"1,389",4.5,759,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d6883205-Reviews-1_Hotel_Central_Park-New_York_City_New_York.html
Q&A Residential Hotel,2017-12-09,2017_12_10,2,1,Booking.com,480,4.5,329,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Self-Serve Laundry', 'Business Center with Internet Access', 'Concierge', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d8501479-Reviews-Q_A_Residential_Hotel-New_York_City_New_York.html
Park Hyatt New York,2017-12-09,2017_12_10,2,1,Hyatt.com,"1,512",4.5,1275,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Babysitting', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Fitness Center with Gym / Workout Room', 'Hot Tub', 'Heated pool', 'Indoor pool']",/Hotel_Review-g60763-d6582176-Reviews-Park_Hyatt_New_York-New_York_City_New_York.html
The Kimberly Hotel,2017-12-09,2017_12_10,2,1,Hotwire.com,"1,903",4.5,432,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Dry Cleaning', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d93335-Reviews-The_Kimberly_Hotel-New_York_City_New_York.html
The Pearl Hotel,2017-12-09,2017_12_10,2,1,Travelocity,"2,416",4.5,670,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Restaurant', 'Bar/Lounge', 'Room Service', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Breakfast Available', 'Room Service', 'Meeting Rooms', 'Business Center with Internet Access', 'Babysitting', 'Air Conditioning', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",/Hotel_Review-g60763-d1888977-Reviews-The_Pearl_Hotel-New_York_City_New_York.html
Refinery Hotel,2017-12-09,2017_12_10,2,1,Priceline,"4,174",4.5,559,"['Restaurant', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d3344640-Reviews-Refinery_Hotel-New_York_City_New_York.html
EVEN Hotel New York - Midtown East,2017-12-09,2017_12_10,2,1,Even Hotels,393,4.5,389,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Meeting Rooms', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d10131859-Reviews-EVEN_Hotel_New_York_Midtown_East-New_York_City_New_York.html
The Mark,2017-12-09,2017_12_10,2,1,TripAdvisor,746,4.5,945,"['Room Service', 'Restaurant', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Babysitting', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",/Hotel_Review-g60763-d112052-Reviews-The_Mark-New_York_City_New_York.html
