name,date_scraped,check_in,check_out,adults,rooms,address,lat,lon,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
Renaissance New York Times Square Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"Two Times Square, 714 Seventh Avenue at W. 48th Street, New York City, NY 10036-7301",40.7597371,-73.9845837,Hotwire.com,"2,417",4.5,613,259-745,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",186,4.0 Star Hotel,/Hotel_Review-g60763-d93534-Reviews-Renaissance_New_York_Times_Square_Hotel-New_York_City_New_York.html
The Mansfield,2017-11-01,12/9/2017,12/10/2017,2,1,"12 W 44th St, Off of Fifth Avenue, New York City, NY 10036-6604",40.75839,-82.5154471,Expedia.com,"1,847",3.5,373,140-431,"['Fitness Center with Gym / Workout Room', 'Free Internet', 'Restaurant', 'Bar/Lounge', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",344,3.5 Star Hotel,/Hotel_Review-g60763-d93586-Reviews-The_Mansfield-New_York_City_New_York.html
MADE Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"44 West 29 Street, New York City, NY 10001",51.6813534,4.80592537842182,,,5,,221-576,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Bar/Lounge']",282,,/Hotel_Review-g60763-d12675805-Reviews-MADE_Hotel-New_York_City_New_York.html
The Bowery Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"335 Bowery, New York City, NY 10003-7138",40.7259034,-73.9923512,TripAdvisor,643,4.5,575,411-662,"['Restaurant', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Meeting Rooms', 'Babysitting', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",148,4.0 Star Hotel,/Hotel_Review-g60763-d634696-Reviews-The_Bowery_Hotel-New_York_City_New_York.html
Hampton Inn Manhattan / Times Square Central,2017-11-01,12/9/2017,12/10/2017,2,1,"220 West 41st St., New York City, NY 10036-7203",40.7556116,-73.9886088430976,HotelQuickly,"1,838",4.5,361,183-508,"['Free Internet', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Self-Serve Laundry', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",75,3.5 Star Hotel,/Hotel_Review-g60763-d8035866-Reviews-Hampton_Inn_Manhattan_Times_Square_Central-New_York_City_New_York.html
Oakwood at the Blake,2017-11-01,12/9/2017,12/10/2017,2,1,"220 East 63rd Street, New York City, NY 10065-7660",,,Orbitz.com,,5,,,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Concierge', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Refrigerator in room', 'Microwave', 'Fitness Center with Gym / Workout Room']",405,2.0 Star Hotel,/Hotel_Review-g60763-d1484261-Reviews-Oakwood_at_the_Blake-New_York_City_New_York.html
The Roger,2017-11-01,12/9/2017,12/10/2017,2,1,"131 Madison Ave, At 31st Street, New York City, NY 10016-7057",54.4035279,-2.0618325,TheRoger.com,"2,878",4,409,220-550,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free Internet', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Meeting Rooms', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",144,4.0 Star Hotel,/Hotel_Review-g60763-d80110-Reviews-The_Roger-New_York_City_New_York.html
Room Mate Grace,2017-11-01,12/9/2017,12/10/2017,2,1,"125 West 45th Street, New York City, NY 10036-4004",40.7574744,-73.9837819898081,,"1,047",4.5,,159-450,"['Pool', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Minibar', 'Pool', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Heated pool', 'Indoor pool']",77,3.5 Star Hotel,/Hotel_Review-g60763-d518280-Reviews-Room_Mate_Grace-New_York_City_New_York.html
The Tuscany - A St Giles Signature Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"120 East 39th Street, New York City, NY 10016-0906",,,Expedia.com,"1,883",4.5,409,223-492,"['Fitness Center with Gym / Workout Room', 'Restaurant', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",92,4.0 Star Hotel,/Hotel_Review-g60763-d93431-Reviews-The_Tuscany_A_St_Giles_Signature_Hotel-New_York_City_New_York.html
The Knickerbocker,2017-11-01,12/9/2017,12/10/2017,2,1,"6 Times Square, New York City, NY 10036",40.7552496,-73.9859794409575,TripAdvisor,"2,354",4.5,472,286-695,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",68,5.0 Star Hotel,/Hotel_Review-g60763-d7255276-Reviews-The_Knickerbocker-New_York_City_New_York.html
