name,date_scraped,check_in,check_out,adults,rooms,address,lat,lon,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
"The Pierre, A Taj Hotel, New York",2017-11-01,12/9/2017,12/10/2017,2,1,"2 East 61st Street at Fifth Avenue, New York City, NY 10065",,,,"1,801",4.5,,477-1091,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",18,5.0 Star Hotel,/Hotel_Review-g60763-d93603-Reviews-The_Pierre_A_Taj_Hotel_New_York-New_York_City_New_York.html
The Soho Loft,2017-11-01,12/9/2017,12/10/2017,2,1,"199 Lafayette St, New York City, NY 10012-4279",-34.591405,-58.4304769,,,3,,,"['Restaurant', 'Free High Speed Internet ( WiFi )', 'Air Conditioning', 'Refrigerator in room', 'Restaurant']",424,,/Hotel_Review-g60763-d665814-Reviews-The_Soho_Loft-New_York_City_New_York.html
Skyline Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"725 10th Avenue, At 49th Street, New York City, NY 10019-7199",40.764622,-73.9925536628046,Cancelon,,4,,132-374,"['Pool', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Pool', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Heated pool', 'Indoor pool']",272,3.0 Star Hotel,/Hotel_Review-g60763-d93345-Reviews-Skyline_Hotel-New_York_City_New_York.html
The High Line Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"180 10th Ave, at 20th Street, New York City, NY 10011-4707",40.74770385,-74.0048912385142,Booking.com,652,4.5,579,321-795,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Meeting Rooms', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Bar/Lounge']",83,4.0 Star Hotel,/Hotel_Review-g60763-d4283443-Reviews-The_High_Line_Hotel-New_York_City_New_York.html
Stewart Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"371 Seventh Ave, New York City, NY 10001-3984",56.6426705,-5.2744054,Expedia.com,"5,329",4,404,165-468,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free Internet', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Self-Serve Laundry', 'Business Center with Internet Access', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",212,4.0 Star Hotel,/Hotel_Review-g60763-d93562-Reviews-Stewart_Hotel-New_York_City_New_York.html
"The Renwick Hotel New York City, Curio Collection by Hilton",2017-11-01,12/9/2017,12/10/2017,2,1,"118 E 40th St, New York City, NY 10016-1724",,,Cancelon,"1,142",4.5,456,191-488,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",100,4.0 Star Hotel,/Hotel_Review-g60763-d8680787-Reviews-The_Renwick_Hotel_New_York_City_Curio_Collection_by_Hilton-New_York_City_New_York.html
Trump International Hotel and Tower New York,2017-11-01,12/9/2017,12/10/2017,2,1,"1 Central Park West, New York City, NY 10023-7703",,,Agoda.com,"1,311",4.5,878,473-1278,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Spa', 'Pool', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Breakfast Available', 'Business Center with Internet Access', 'Banquet Room', 'Conference Facilities', 'Babysitting', 'Air Conditioning', 'Microwave', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Heated pool', 'Indoor pool', 'Pool']",115,5.0 Star Hotel,/Hotel_Review-g60763-d93623-Reviews-Trump_International_Hotel_and_Tower_New_York-New_York_City_New_York.html
Holiday Inn Express Manhattan Times Square South,2017-11-01,12/9/2017,12/10/2017,2,1,"60 West 36th Street & 6th Ave, New York City, NY 10018-8039",,,,"1,198",4.5,,164-456,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Concierge', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",201,3.0 Star Hotel,/Hotel_Review-g60763-d3529145-Reviews-Holiday_Inn_Express_Manhattan_Times_Square_South-New_York_City_New_York.html
The Gotham Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"16 E 46th St, Between Fifth Ave and Madison Ave, New York City, NY 10017-2471",40.7554024,-73.9780935549191,,817,4,,172-516,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Bar/Lounge']",216,4.5 Star Hotel,/Hotel_Review-g60763-d1963673-Reviews-The_Gotham_Hotel-New_York_City_New_York.html
Lowell Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"28 E 63rd St, Between Madison and Park Avenues, New York City, NY 10065-8088",42.6334247,-71.3161718,Orbitz.com,318,4.5,990,621-2159,"['Room Service', 'Restaurant', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Meeting Rooms', 'Business Center with Internet Access', 'Multilingual Staff', 'Babysitting', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Microwave', 'Restaurant', 'Fitness Center with Gym / Workout Room']",153,5.0 Star Hotel,/Hotel_Review-g60763-d93585-Reviews-Lowell_Hotel-New_York_City_New_York.html
Flatiron Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"9 W 26th St, New York City, NY 10010-1003",40.74400165,-73.9892011641725,Travelocity,792,4,419,184-486,"['Bar/Lounge', 'Room Service', 'Restaurant', 'Free High Speed Internet ( WiFi )', 'Children Activities (Kid / Family Friendly)', 'Business Center with Internet Access', 'Breakfast Available', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Bar/Lounge', 'Restaurant']",369,4.0 Star Hotel,/Hotel_Review-g60763-d1563892-Reviews-Flatiron_Hotel-New_York_City_New_York.html
W New York,2017-11-01,12/9/2017,12/10/2017,2,1,"541 Lexington Avenue, between 49th St and 50th St, New York City, NY 10022-7503",40.785529,-74.00830025,AMOMA,"4,499",3.5,356,163-597,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Pool', 'Free Internet', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Pool']",324,4.0 Star Hotel,/Hotel_Review-g60763-d112066-Reviews-W_New_York-New_York_City_New_York.html
Embassy Suites by Hilton New York Midtown Manhattan,2017-11-01,12/9/2017,12/10/2017,2,1,"60 W 37th St, New York City, NY 10018-7401",,,,0,-1,,166-575,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Breakfast included', 'Business Center with Internet Access', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",,,/Hotel_Review-g60763-d11998087-Reviews-Embassy_Suites_by_Hilton_New_York_Midtown_Manhattan-New_York_City_New_York.html
The Hilton Club - New York,2017-11-01,12/9/2017,12/10/2017,2,1,"1335 Avenue of the Americas, 36th, 37th and 38th Floors of the Hilton New York, New York City, NY 10019-6012",43.288116,-77.793342,Hilton.com,668,4.5,683,297-916,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Restaurant', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Banquet Room', 'Conference Facilities', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Restaurant']",206,4.0 Star Hotel,/Hotel_Review-g60763-d1379306-Reviews-The_Hilton_Club_New_York-New_York_City_New_York.html
Washington Square Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"103 Waverly Place, New York City, NY 10011-9194",40.7324446,-73.9987735,Booking.com,"1,461",4,323,212-438,"['Restaurant', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Bar/Lounge', 'Breakfast included', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Restaurant', 'Bar/Lounge']",141,3.5 Star Hotel,/Hotel_Review-g60763-d93382-Reviews-Washington_Square_Hotel-New_York_City_New_York.html
"The Standard, High Line",2017-11-01,12/9/2017,12/10/2017,2,1,"848 Washington Street, at West 13th Street, New York City, NY 10014-1308",52.1361059,-0.4666185,Booking.com,"2,886",4,489,302-615,"['Room Service', 'Restaurant', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",154,4.0 Star Hotel,/Hotel_Review-g60763-d1218720-Reviews-The_Standard_High_Line-New_York_City_New_York.html
414 Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"414 West 46th Street, New York City, NY 10036-3505",10.3748291,-85.1216301,,"1,419",4.5,,263-457,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Laundry Service', 'Concierge', 'Multilingual Staff']",2,3.0 Star Hotel,/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York.html
The Marcel at Gramercy,2017-11-01,12/9/2017,12/10/2017,2,1,"201 East 24th Street, New York City, NY 10010-3801",,,AMOMA,"3,178",4,293,154-410,"['Room Service', 'Bar/Lounge', 'Free Internet', 'Room Service', 'Laundry Service', 'Dry Cleaning', 'Concierge', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Bar/Lounge']",133,4.0 Star Hotel,/Hotel_Review-g60763-d99382-Reviews-The_Marcel_at_Gramercy-New_York_City_New_York.html
WestHouse Hotel New York,2017-11-01,12/9/2017,12/10/2017,2,1,"201 West 55 Street, New York City, NY 10019-5203",,,AMOMA,"1,776",4.5,505,294-725,"['Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free Internet', 'Breakfast included', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",116,5.0 Star Hotel,/Hotel_Review-g60763-d4945551-Reviews-WestHouse_Hotel_New_York-New_York_City_New_York.html
Cassa Hotel Times Square,2017-11-01,12/9/2017,12/10/2017,2,1,"515 Ninth Avenue, at 39th Street, New York City, NY 10018-2802",,,,"1,228",4.5,,194-618,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Bar/Lounge', 'Spa', 'Hot Tub', 'Fitness Center with Gym / Workout Room']",123,4.0 Star Hotel,/Hotel_Review-g60763-d7148761-Reviews-Cassa_Hotel_Times_Square-New_York_City_New_York.html
Courtyard New York Manhattan/Fifth Avenue,2017-11-01,12/9/2017,12/10/2017,2,1,"3 E 40th St, New York City, NY 10016-0101",40.7520983,-73.9810762482664,Courtyard,925,4,449,197-548,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Room Service', 'Meeting Rooms', 'Business Center with Internet Access', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",265,3.5 Star Hotel,/Hotel_Review-g60763-d99391-Reviews-Courtyard_New_York_Manhattan_Fifth_Avenue-New_York_City_New_York.html
Hotel Boutique At Grand Central,2017-11-01,12/9/2017,12/10/2017,2,1,"447 Lexington Ave, 128 East 45th Street, New York City, NY 10017-3908",,,Booking.com,529,4.5,341,153-422,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Meeting Rooms', 'Laundry Service', 'Room Service', 'Dry Cleaning', 'Business Center with Internet Access', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",143,4.0 Star Hotel,/Hotel_Review-g60763-d4446427-Reviews-Hotel_Boutique_At_Grand_Central-New_York_City_New_York.html
Sheraton New York Times Square Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"811 7th Avenue 53rd Street, New York City, NY 10019-6002",40.7623787,-73.9814511568584,Cancelon,"8,315",4,789,203-688,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Pool', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Pool']",287,4.0 Star Hotel,/Hotel_Review-g60763-d93555-Reviews-Sheraton_New_York_Times_Square_Hotel-New_York_City_New_York.html
Hotel Central Fifth Avenue New York,2017-11-01,12/9/2017,12/10/2017,2,1,"15 W 45th St, New York City, NY 10036-4904",,,Expedia.com,"1,203",4,459,138-425,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning']",363,3.0 Star Hotel,/Hotel_Review-g60763-d584986-Reviews-Hotel_Central_Fifth_Avenue_New_York-New_York_City_New_York.html
Soho House New York,2017-11-01,12/9/2017,12/10/2017,2,1,"29 - 35 Ninth Avenue, New York City, NY 10014",40.72288,-73.9987505,,,4.5,,275-1150,"['Pool', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Children Activities (Kid / Family Friendly)', 'Meeting Rooms', 'Babysitting', 'Air Conditioning', 'Minibar', 'Pool', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room']",309,4.0 Star Hotel,/Hotel_Review-g60763-d313862-Reviews-Soho_House_New_York-New_York_City_New_York.html
Holiday Inn NYC - Manhattan 6th Avenue - Chelsea,2017-11-01,12/9/2017,12/10/2017,2,1,"125 W 26th St, New York City, NY 10001-6802",,,,"1,328",3.5,,138-472,"['Room Service', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",330,3.5 Star Hotel,/Hotel_Review-g60763-d673080-Reviews-Holiday_Inn_NYC_Manhattan_6th_Avenue_Chelsea-New_York_City_New_York.html
HGU New York,2017-11-01,12/9/2017,12/10/2017,2,1,"34 E 32nd St, New York City, NY 10016-5503",,,Booking.com,209,4.5,422,195-487,"['Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Business Center with Internet Access', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Microwave', 'Refrigerator in room']",239,4.0 Star Hotel,/Hotel_Review-g60763-d122015-Reviews-HGU_New_York-New_York_City_New_York.html
"The Algonquin Hotel Times Square, Autograph Collection",2017-11-01,12/9/2017,12/10/2017,2,1,"59 West 44th Street, Between Fifth & Sixth Ave, New York City, NY 10036",,,Autograph,"2,000",4,519,226-682,"['Restaurant', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Business Center with Internet Access', 'Banquet Room', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",197,4.0 Star Hotel,/Hotel_Review-g60763-d93568-Reviews-The_Algonquin_Hotel_Times_Square_Autograph_Collection-New_York_City_New_York.html
Courtyard New York Manhattan/Upper East Side,2017-11-01,12/9/2017,12/10/2017,2,1,"410 East 92nd Street, New York City, NY 10128-6881",,,Courtyard,884,4,339,159-503,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Meeting Rooms', 'Laundry Service', 'Multilingual Staff', 'Conference Facilities', 'Dry Cleaning', 'Business Center with Internet Access', 'Fitness Center with Gym / Workout Room', 'Indoor pool']",290,3.5 Star Hotel,/Hotel_Review-g60763-d564851-Reviews-Courtyard_New_York_Manhattan_Upper_East_Side-New_York_City_New_York.html
The GEM Hotel Chelsea,2017-11-01,12/9/2017,12/10/2017,2,1,"300 W 22nd St, 22nd Street & 8th Avenue, New York City, NY 10011-2602",40.7446533,-73.9993815,Agoda.com,"1,249",4,374,168-444,"['Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Multilingual Staff', 'Air Conditioning', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",304,3.0 Star Hotel,/Hotel_Review-g60763-d1177864-Reviews-The_GEM_Hotel_Chelsea-New_York_City_New_York.html
The Manhattan at Times Square Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"790 7th Avenue at 51st Street, New York City, NY 10019",40.7621727,-73.9829659,Hotels.com,"7,693",3.5,440,133-427,"['Fitness Center with Gym / Workout Room', 'Free Internet', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",299,4.0 Star Hotel,/Hotel_Review-g60763-d93545-Reviews-The_Manhattan_at_Times_Square_Hotel-New_York_City_New_York.html
Oakwood at 777 6th Avenue,2017-11-01,12/9/2017,12/10/2017,2,1,"777 Avenue of the Americas, New York City, NY 10001-6318",,,,,5,,,"['Fitness Center with Gym / Workout Room', 'Restaurant', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room', 'Restaurant']",410,4.0 Star Hotel,/Hotel_Review-g60763-d268217-Reviews-Oakwood_at_777_6th_Avenue-New_York_City_New_York.html
Doubletree by Hilton New York Times Square West,2017-11-01,12/9/2017,12/10/2017,2,1,"350 W 40th St, New York City, NY 10018-1404",,,,671,3.5,,144-522,"['Room Service', 'Free Internet', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",361,4.0 Star Hotel,/Hotel_Review-g60763-d11236004-Reviews-Doubletree_by_Hilton_New_York_Times_Square_West-New_York_City_New_York.html
Fairfield Inn & Suites New York Manhattan/Times Square,2017-11-01,12/9/2017,12/10/2017,2,1,"330 West 40th Street, Between 8th Ave. & 9th Ave., New York City, NY 10018",40.75646015,-73.9925224879106,AMOMA,"1,919",4,435,168-539,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Dry Cleaning', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",242,3.0 Star Hotel,/Hotel_Review-g60763-d1390172-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Times_Square-New_York_City_New_York.html
Staybridge Suites Times Square - New York City,2017-11-01,12/9/2017,12/10/2017,2,1,"340 West 40th Street, New York City, NY 10018-1404",40.75653655,-73.99270425,Agoda.com,"5,732",4.5,432,170-510,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Conference Facilities', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",146,3.5 Star Hotel,/Hotel_Review-g60763-d1465162-Reviews-Staybridge_Suites_Times_Square_New_York_City-New_York_City_New_York.html
Hampton Inn Manhattan-Times Square North,2017-11-01,12/9/2017,12/10/2017,2,1,"851 Eighth Avenue, New York City, NY 10019-6237",40.76336435,-73.9856928640265,,"5,518",4.5,,153-485,"['Fitness Center with Gym / Workout Room', 'Free Internet', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",157,3.0 Star Hotel,/Hotel_Review-g60763-d93457-Reviews-Hampton_Inn_Manhattan_Times_Square_North-New_York_City_New_York.html
"Club Quarters Hotel, opposite Rockefeller Center",2017-11-01,12/9/2017,12/10/2017,2,1,"25 W 51st St, off 5th Ave, New York City, NY 10019-6902",,,Hotels.com,"1,427",4,413,158-443,"['Fitness Center with Gym / Workout Room', 'Room Service', 'Restaurant', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",288,4.0 Star Hotel,/Hotel_Review-g60763-d607712-Reviews-Club_Quarters_Hotel_opposite_Rockefeller_Center-New_York_City_New_York.html
Heritage Hotel New York City,2017-11-01,12/9/2017,12/10/2017,2,1,"18 W 25th St, at 5th Avenue, New York City, NY 10010-2703",,,Priceline,794,3.5,305,134-411,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room']",380,2.5 Star Hotel,/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York.html
The Melrose Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"140 E 63rd St, New York City, NY 10065-7649",53.8015208,-3.0514822,,,3,,,"['Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room', 'Laundry Service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room']",451,4.0 Star Hotel,/Hotel_Review-g60763-d1049347-Reviews-The_Melrose_Hotel-New_York_City_New_York.html
Broadway Plaza Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"1155 Broadway, New York City, NY 10001-7516",40.744469,-73.9891087,,"1,436",4,,139-420,"['Breakfast included', 'Breakfast included', 'Airport Transportation', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Babysitting', 'Air Conditioning', 'Tennis Court']",132,3.5 Star Hotel,/Hotel_Review-g60763-d223019-Reviews-Broadway_Plaza_Hotel-New_York_City_New_York.html
Archer Hotel New York,2017-11-01,12/9/2017,12/10/2017,2,1,"45 West 38th Street, New York City, NY 10018-5501",40.7520283,-73.9847055036775,,"3,098",4.5,,229-569,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Bar/Lounge']",16,4.5 Star Hotel,/Hotel_Review-g60763-d5550873-Reviews-Archer_Hotel_New_York-New_York_City_New_York.html
Hotel Giraffe by Library Hotel Collection,2017-11-01,12/9/2017,12/10/2017,2,1,"365 Park Ave South, At 26th Street, New York City, NY 10016-8801",,,,"3,832",5,,260-585,"['Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Breakfast included', 'Restaurant', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Breakfast Available', 'Meeting Rooms', 'Business Center with Internet Access', 'Air Conditioning', 'Bar/Lounge', 'Restaurant']",4,4.0 Star Hotel,/Hotel_Review-g60763-d99762-Reviews-Hotel_Giraffe_by_Library_Hotel_Collection-New_York_City_New_York.html
Hotel Metro,2017-11-01,12/9/2017,12/10/2017,2,1,"45 W 35th St, New York City, NY 10001-2277",47.5118988,19.0551819,TripAdvisor,"4,232",4.5,394,185-466,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Breakfast included', 'Room Service', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Room Service', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",97,3.0 Star Hotel,/Hotel_Review-g60763-d99392-Reviews-Hotel_Metro-New_York_City_New_York.html
The Evelyn,2017-11-01,12/9/2017,12/10/2017,2,1,"7 East 27th Street, New York City, NY 10016-8701",-37.74121,145.401564485646,AMOMA,"2,146",4,328,173-449,"['Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room']",292,3.5 Star Hotel,/Hotel_Review-g60763-d99389-Reviews-The_Evelyn-New_York_City_New_York.html
